Resumo geral;Pagamentos pendentes;Pagamentos finalizados;Valor total
 ;$ 0,00;$ 55.875,19;$ 55.875,19
Descrição;Veículo;Fornecedor;Funcionário;Viagem;Data de cadastro;Data de vencimento;Data de pagamento;Valor total;Pago?
"";33038;TRANSITAR EM VELOCIDADE SUPERIOR A 20%;1;$ 104,13;$ 104,13
MULTA;QRD-7I51 - VOLKSWAGEN 11180;DETRAN MT;"";"";11/12/2024 08:21:00;30/08/2025 08:43:00;30/08/2025 08:43:00;$ 293,47;O
"";ID;Item;Quantidade;Valor unitário;Valor total
"";33041;AVANCAR SINAL VERMELHO DO SEMAFORO;1;$ 293,47;$ 293,47
MULTA;BDX-9H60 - VW/9.170 DRC 4X2;DETRAN MT;"";"";10/12/2024 07:35:00;26/08/2025 16:09:00;26/08/2025 16:09:00;$ 260,32;O
"";ID;Item;Quantidade;Valor unitário;Valor total
"";33042;MULTA POR NAO IDENTIFICAÇÃO DO CONDUTOR;1;$ 260,32;$ 260,32
MULTA;BDX-9H60 - VW/9.170 DRC 4X2;DETRAN MT;"";"";10/12/2024 06:58:00;26/08/2025 16:14:00;26/08/2025 16:14:00;$ 586,94;O
"";ID;Item;Quantidade;Valor unitário;Valor total
"";33042;MULTA POR NAO IDENTIFICAÇÃO DO CONDUTOR;1;$ 586,94;$ 586,94
MULTA;CVP1962 - VOLKSWAGEN 8120;DETRAN MT;"";"";10/12/2024 06:58:00;27/08/2025 09:51:00;27/08/2025 09:51:00;$ 390,46;O
"";ID;Item;Quantidade;Valor unitário;Valor total
"";33042;MULTA POR NAO IDENTIFICAÇÃO DO CONDUTOR;1;$ 390,46;$ 390,46
MULTA;CVP1962 - VOLKSWAGEN 8120;DETRAN MT;"";"";10/12/2024 06:58:00;27/08/2025 09:53:00;27/08/2025 09:53:00;$ 390,46;O
"";ID;Item;Quantidade;Valor unitário;Valor total
"";33039;MULTA POR NAO IDENTIFICAR O CONDUTOR INFRATOR;1;$ 390,46;$ 390,46
MULTA;NWA-3I75 - VOLKSWAGEN 8120;DETRAN MT;"";"";10/12/2024 06:58:00;28/08/2025 09:44:00;28/08/2025 09:44:00;$ 390,46;O
"";ID;Item;Quantidade;Valor unitário;Valor total
"";33039;MULTA POR NAO IDENTIFICAR O CONDUTOR INFRATOR;1;$ 390,46;$ 390,46
MULTA;NWA-3I75 - VOLKSWAGEN 8120;DETRAN MT;"";"";10/12/2024 06:58:00;28/08/2025 10:14:00;28/08/2025 10:14:00;$ 390,46;O
"";ID;Item;Quantidade;Valor unitário;Valor total
"";33039;MULTA POR NAO IDENTIFICAR O CONDUTOR INFRATOR;1;$ 390,46;$ 390,46
